FID,geom,longitud,latitud,profundida,magnitud__,fecha,hora_utc,clasif
sis_igp_2017.1,POINT (-76.8416 -12.9721),-76.8416,-12.9721,45,4.4,01/01/2017,02:45:36,Superficial
sis_igp_2017.2,POINT (-76.4678 -4.9249),-76.4678,-4.9249,118,5.8,02/01/2017,13:13:47,Intermedio
sis_igp_2017.3,POINT (-70.6282 -19.5521),-70.6282,-19.5521,7,5.2,03/01/2017,13:41:54,Superficial
sis_igp_2017.4,POINT (-76.4272 -13.4277),-76.4272,-13.4277,58,4.2,04/01/2017,08:28:38,Superficial
sis_igp_2017.5,POINT (-71.8568 -15.7061),-71.8568,-15.7061,15,3.7,05/01/2017,11:44:17,Superficial
sis_igp_2017.6,POINT (-78.579 -11.4853),-78.579,-11.4853,36,5,06/01/2017,22:55:27,Superficial
sis_igp_2017.7,POINT (-75.4573 -14.744),-75.4573,-14.744,23,4.2,07/01/2017,07:28:38,Superficial
sis_igp_2017.8,POINT (-80.6705 -2.9711),-80.6705,-2.9711,44,4.4,07/01/2017,09:11:52,Superficial
sis_igp_2017.9,POINT (-75.5128 -7.7498),-75.5128,-7.7498,138,5,07/01/2017,16:04:51,Intermedio
sis_igp_2017.10,POINT (-75.595 -14.6598),-75.595,-14.6598,42,4.2,07/01/2017,19:33:10,Superficial
sis_igp_2017.11,POINT (-71.7809 -15.7678),-71.7809,-15.7678,10,3.2,09/01/2017,17:40:14,Superficial
sis_igp_2017.12,POINT (-71.8335 -15.7373),-71.8335,-15.7373,12,4.4,10/01/2017,04:53:53,Superficial
sis_igp_2017.13,POINT (-70.8396 -15.4332),-70.8396,-15.4332,6,3.9,10/01/2017,19:19:35,Superficial
sis_igp_2017.14,POINT (-74.2215 -15.9605),-74.2215,-15.9605,67,4.6,10/01/2017,20:45:53,Intermedio
sis_igp_2017.15,POINT (-74.2924 -16.1244),-74.2924,-16.1244,32,4.5,10/01/2017,21:15:49,Superficial
sis_igp_2017.16,POINT (-71.8679 -15.7327),-71.8679,-15.7327,6,4.2,12/01/2017,15:13:49,Superficial
sis_igp_2017.17,POINT (-79.0982 -9.969),-79.0982,-9.969,30,4.6,14/01/2017,08:16:22,Superficial
sis_igp_2017.18,POINT (-75.3072 -6.4984),-75.3072,-6.4984,39,4.5,15/01/2017,16:07:54,Superficial
sis_igp_2017.19,POINT (-71.8562 -15.6774),-71.8562,-15.6774,13,3.8,16/01/2017,03:57:30,Superficial
sis_igp_2017.20,POINT (-77.6385 -12.3367),-77.6385,-12.3367,21,4.5,17/01/2017,23:44:15,Superficial
